Question Number|English Content|Chinese Translation
1|The celebrated theory is still the source of great controversy.|这一著名的理论至今仍是巨大争议的根源。
2|We can all meet at my office after the lecture.|讲座结束后我们可以在我的办公室见面。
3|Tutorials are scheduled in the final week of the term.|辅导课安排在学期的最后一周。
4|All dissertations must be accompanied by a submission form.|所有论文必须附上提交表格。
5|All industries are a system of inputs, processes, outputs and feedback.|所有行业都是一个输入、处理、输出和反馈的系统。
6|Economic development needs to be supported by the government.|经济发展需要政府的支持。
7|The toughest part of postgraduate education is funding.|研究生教育最困难的部分是资金。
8|Our view is that educational reforms have been inadequately implemented.|我们的看法是，教育改革执行得不够充分。
9|Although sustainable development is not easy, it is an unavoidable responsibility.|可持续发展虽然不容易，但是一项不可推卸的责任。
10|Americans have typically defined the process of plant growth in quantitative terms.|美国人通常用定量术语来定义植物生长的过程。
11|An introduction is an essential element of presentation.|简介是演讲的基本要素。
12|Animals raised in captivity behave differently than their wild counterparts.|圈养的动物和野生的动物行为不同。
13|Before completing the exercise, you need to read the remaining chapters.|在完成练习之前，你需要阅读剩下的章节。
14|Students will develop confidence in their ability to think critically.|学生将建立对批判性思考能力的信心。
15|Consumer confidence has a direct influence on sales.|消费者信心对销售有直接影响。
16|Convincing evidence to support this theory is hard to obtain.|支持这一理论的令人信服的证据很难获得。
17|Despite the protest, the chemistry department was closed down.|尽管有抗议，化学系还是被关闭了。
18|Despite their differences, all forms of life share certain characteristics.|尽管存在差异，但所有形式的生命都有某些共同的特征。
19|Economic problems caused a big rise in unemployment.|经济问题导致失业人数大幅增加。
20|The economic status of the early Roman Republic will be examined.|我们将考察早期罗马共和国的经济状况。
21|The academic strength of the early Roman Republic will be examined.|我们将考察早期罗马共和国的学术实力。
22|Many experts think that the world climate is constantly changing.|许多专家认为世界气候在不断变化。
23|Students are permitted to park at campus parking spaces.|学生可以在校园停车场停车。
24|It is really a comprehensive program covering both theory and practice.|这确实是一个包括理论和实践的综合项目。
25|We are researching the most significant challenges that are faced in our society today.|我们正在研究当今社会所面临的最重大的挑战。
26|Medical researchers have focused on causes of diseases and treatments.|医学研究人员一直致力于研究疾病的病因和治疗方法。
27|Native speakers are exempt from the language tests in their own language.|母语者不用参加自己语言的测试。
28|Nurses can specialize in clinical work or management.|护士可以专攻临床工作或管理。
29|Organizational failure is considered from various perspectives in academic literature.|在学术文献中，人们从不同的角度来思考组织层面的失败。
30|Our professor is hosting the business development conference.|我们的教授正在主持商业发展会议。
31|Peer group pressure has a significant effect on young people.|同辈群体压力对年轻人有很大的影响。
32|Please note that the submission deadlines are only negotiable in exceptional circumstances.|请注意，提交截止日期只有在特殊情况下才能协商。
33|The speaker began by giving an outline of her presentation.|演讲者先给出了她今天讲座的大纲。
34|She has made a significant contribution to the field of chemistry.|她在化学领域做出了重大贡献。
35|She used to be the editor of the student newspaper.|她曾是校报的编辑。
36|Many departments have their own special book collections.|许多部门都有自己的特殊藏书。
37|Statistical results should be expressed in different ways depending on the circumstances.|统计结果应根据情况以不同的方式表示。
38|You are advised to use multiple research methods for this project.|建议你们在这个项目中使用多种研究方法。
39|Students requiring an extension should apply sooner rather than later.|要求延期的学生应尽早申请，不宜推迟。
40|Submission of your group assignment must be issued punctually by one of your group members.|小组作业必须由小组成员准时提交。
41|Textile manufacturing plays a large role in improving economies.|纺织业在改善经济方面起着很大的作用。
42|Food that contains antibiotics provides little or no nutritional value.|含有抗生素的食物几乎没有营养价值。
43|A bar chart provides a useful means of data comparison.|柱状图提供了一种很有用的数据比较方法。
44|The archeologists were astonished by the previously overlooked foundations.|考古学家们对以前被忽视的地基感到惊讶。
45|New developments in technology are influencing current research.|技术的新发展正在影响当前的研究。
46|Most known oil reserves will only last for half a century.|大多数已知的石油储量只能维持半个世纪。
47|The designers will complete the plan later today.|设计师们将在今天晚些时候完成这个设计图。
48|The rising inflation rate indicates a decrease in demand for consumer products.|通货膨胀率的上升表明对消费品的需求下降。
49|The essay will be published once the research is finished.|一旦研究完成，这篇文章就会发表。
50|The faculty staff are very approachable, friendly and extremely helpful.|教职工都很平易近人，友好，而且非常乐于助人。
51|The final year will consist of four taught courses and one project.|最后一年将包括四门授课课程和一项专题研究。
52|The garden behind the university is open to the public in summer.|大学后面的花园在夏天对公众开放。
53|The history of the university is a long and interesting one.|这所大学的历史悠久而有趣。
54|The railway makes long-distance travel possible for everyone.|铁路使每个人都能进行长途旅行。
55|The results of the study underscored the importance of early detection.|研究的结果强调了早期发现的重要性。
56|The scientists will face both the explanations and the problems.|科学家们将面对（对此现象的）解释和（及其）问题。
57|The summer course is canceled due to insufficient enrollment.|由于报名人数不足，夏季课程取消了。
58|The new technician dropped the microscope in the biology lab.|那个新来的技术员在生物实验室里把显微镜摔了。
59|The theme of the instrumental work exhibits more of a demure compositional style.|这首乐器演奏的主题表现出了极为庄重的创作风格。
60|The visiting speaker used to be a lecturer in this department.|来访的演讲人曾是这个系的讲师。
61|The ways in which people communicate are constantly changing.|人们交流的方式在不断变化。
62|There is a clear need for further research in this field.|在这个领域明显需要进一步研究。
63|There is clearly a need for further research in this field.|这一领域显然有进一步研究的必要。
64|Our laboratory equipment is provided free of charge.|我们的实验设备是免费的。
65|Those seeking a formal extension should contact their faculty for information.|那些寻求正式延期的学生应该联系他们的教员了解情况。
66|Traveling by boat on the river is not possible in winter.|冬天坐船旅行是不可能的。
67|It would be extremely beneficial to work together.|一起工作是非常有益的。
68|This project is divided into four main sections.|本项目分为四个主要部分。
69|Understanding how to use the library will save your time.|了解如何使用图书馆会节省你的时间。
70|All students are expected to participate in all class activities.|所有学生都要参加所有课堂活动。
71|We can work together to achieve high educational standard.|我们可以共同努力实现高教育标准。
72|We support the research on problems related to tropical cyclone dynamics and forecasting.|我们支持有关热带气旋动力学和预测方面的研究。
73|Parents’ talk to children tends to be simplified.|父母对孩子的谈话往往被简化。
74|The essay is easy to write once the research is completed.|一旦研究完成，这篇文章很容易写了。
75|Find out how to get resources before your research.|在你研究之前了解获得资料的方法。
76|Global connections thrived in academic communities, thanks to social media.|多亏了社交媒体，学术界的全球联系蓬勃发展。
77|The theater study course encourages students to exercise creativity.|戏剧学习课程鼓励学生锻炼创造力。
78|There are opportunities to receive grants in most artistic fields.|大多数艺术领域都有获得资助的机会。
79|Those who are considering a career in marketing should attend the talk.|那些正在考虑从事市场营销的人应该参加这次演讲。
80|Every student has both the right and the ability to succeed.|每个学生都有成功的权利和能力。
81|The university has invested in new technologies designed to support learning.|大学已投资于新技术，旨在支持学习。
82|A good academic paper should present a clear argument.|一篇好的学术论文应该呈现一个清晰的论点。
83|A good research assistant is not afraid to ask questions.|一个好的研究助手不怕问问题。
84|Collaboration between departments is a feature of successful companies.|部门间的协作是成功公司的一个特点。
