Question Number,English Content,Chinese Translation,wrong,reviewed,wrong_date,wrong_record,md5,mp3_path
1,The celebrated theory is still the source of great controversy.,这一著名的理论至今仍是巨大争议的根源。,0,1,[],[],c6c46a757fb788b5750aab4760d6d730,./wfd_mp3\c6c46a757fb788b5750aab4760d6d730.mp3
2,We can all meet at my office after the lecture.,讲座结束后我们可以在我的办公室见面。,0,1,[],[],ee035e7bfdf1cb79bd6b9a62f36a708b,./wfd_mp3\ee035e7bfdf1cb79bd6b9a62f36a708b.mp3
3,All dissertations must be accompanied by a submission form.,所有论文必须附上提交表格。,0,1,[],[],b950dc10629656cd728239281cf52cef,./wfd_mp3\b950dc10629656cd728239281cf52cef.mp3
4,"All industries are a system of inputs, processes, outputs and feedback.",所有行业都是一个输入、处理、输出和反馈的系统。,0,1,[],[],a338a4a9987b8c0a87dd30742f41adcb,./wfd_mp3\a338a4a9987b8c0a87dd30742f41adcb.mp3
5,Our view is that educational reforms have been inadequately implemented.,我们的看法是，教育改革执行得不够充分。,0,1,[],[],ecaff73448dd71738390348b7a1c1829,./wfd_mp3\ecaff73448dd71738390348b7a1c1829.mp3
6,Americans have typically defined the process of plant growth in quantitative terms.,美国人通常用定量术语来定义植物生长的过程。,0,1,[],[],11adf223417c7cd3b66ad554bcc28d83,./wfd_mp3\11adf223417c7cd3b66ad554bcc28d83.mp3
7,Animals raised in captivity behave differently than their wild counterparts.,圈养的动物和野生的动物行为不同。,1,1,['2024-08-19'],['Animals raised in capativity behave differently than their wild counterparts'],9def64faefe0241e64f4817543bccb16,./wfd_mp3\9def64faefe0241e64f4817543bccb16.mp3
8,Medical researchers have focused on causes of diseases and treatments.,医学研究人员一直致力于研究疾病的病因和治疗方法。,0,1,[],[],4307a081f2559ed1a79728bcd3f3fe65,./wfd_mp3\4307a081f2559ed1a79728bcd3f3fe65.mp3
9,Native speakers are exempt from the language tests in their own language.,母语者不用参加自己语言的测试。,1,1,['2024-08-19'],['native speakers are exempt from language tests of their own languages language exampt exam'],f223d5a69a32940baf51fb268c75685d,./wfd_mp3\f223d5a69a32940baf51fb268c75685d.mp3
10,Nurses can specialize in clinical work or management.,护士可以专攻临床工作或管理。,1,1,['2024-08-19'],['nurses can specialize on clinic work or management clinical specialise'],138ea90c67d22ef994ed701aabb06f53,./wfd_mp3\138ea90c67d22ef994ed701aabb06f53.mp3
11,Organizational failure is considered from various perspectives in academic literature.,在学术文献中，人们从不同的角度来思考组织层面的失败。,0,1,[],[],3809703786d39bb7bc03f484b5927d97,./wfd_mp3\3809703786d39bb7bc03f484b5927d97.mp3
12,Peer group pressure has a significant effect on young people.,同辈群体压力对年轻人有很大的影响。,0,1,[],[],4d6dcf38503c70bdf54d2731e33ac527,./wfd_mp3\4d6dcf38503c70bdf54d2731e33ac527.mp3
13,Please note that the submission deadlines are only negotiable in exceptional circumstances.,请注意，提交截止日期只有在特殊情况下才能协商。,1,1,['2024-08-19'],['please note that the submission deadline are only negotiable in under an exceptional circumstances'],e5ae75f0378c2d81fa1a3b64db243dca,./wfd_mp3\e5ae75f0378c2d81fa1a3b64db243dca.mp3
14,The speaker began by giving an outline of her presentation.,演讲者先给出了她今天讲座的大纲。,1,1,['2024-08-19'],['the speaker begin by given an outlint of the presentation began the outline'],cbaf5565007387cda4fed5fbd87652cc,./wfd_mp3\cbaf5565007387cda4fed5fbd87652cc.mp3
15,She has made a significant contribution to the field of chemistry.,她在化学领域做出了重大贡献。,0,1,[],[],abfeb471b1e66709b9118caca47eb2d0,./wfd_mp3\abfeb471b1e66709b9118caca47eb2d0.mp3
16,Many departments have their own special book collections.,许多部门都有自己的特殊藏书。,0,1,[],[],041e9569ee856925c6bc71e633c60049,./wfd_mp3\041e9569ee856925c6bc71e633c60049.mp3
17,A bar chart provides a useful means of data comparison.,柱状图提供了一种很有用的数据比较方法。,1,1,['2024-08-19'],['a barchart provides a useful means of data comparison'],3a49993059e45120f76d970efcb5df20,./wfd_mp3\3a49993059e45120f76d970efcb5df20.mp3
18,The rising inflation rate indicates a decrease in demand for consumer products.,通货膨胀率的上升表明对消费品的需求下降。,1,1,['2024-08-19'],['the rising inflation rate indicate the decrease in demands of for consumer products consuming indicates decreasing'],14250a7edaa4a5a33c5890c1d1028f22,./wfd_mp3\14250a7edaa4a5a33c5890c1d1028f22.mp3
19,The garden behind the university is open to the public in summer.,大学后面的花园在夏天对公众开放。,1,1,['2024-08-19'],['the garden behind the university is opened to the public in on summer'],19263465556ea37be2e7f9fb777d477b,./wfd_mp3\19263465556ea37be2e7f9fb777d477b.mp3
20,The results of the study underscored the importance of early detection.,研究的结果强调了早期发现的重要性。,1,1,['2024-08-19'],['the result of the study underscores the importance of early detection'],4e6027f0215ca0dc6368e921ef9d9a99,./wfd_mp3\4e6027f0215ca0dc6368e921ef9d9a99.mp3
21,The summer course is canceled due to insufficient enrollment.,由于报名人数不足，夏季课程取消了。,1,1,['2024-08-19'],['The summer course is cancelled due to the insufficient enrolment enrollment'],3587e185795610ffa9ff60ada877f77e,./wfd_mp3\3587e185795610ffa9ff60ada877f77e.mp3
22,The new technician dropped the microscope in the biology lab.,那个新来的技术员在生物实验室里把显微镜摔了。,0,1,[],[],ee74fd14ef5c00bcad03a1db5a48c35c,./wfd_mp3\ee74fd14ef5c00bcad03a1db5a48c35c.mp3
23,The visiting speaker used to be a lecturer in this department.,来访的演讲人曾是这个系的讲师。,0,1,[],[],47b71d1a029ce276929a953eda991e20,./wfd_mp3\47b71d1a029ce276929a953eda991e20.mp3
24,There is clearly a need for further research in this field.,这一领域显然有进一步研究的必要。,0,1,[],[],c981a3527adf408bc3324104d03510b1,./wfd_mp3\c981a3527adf408bc3324104d03510b1.mp3
25,Traveling by boat on the river is not possible in winter.,冬天坐船旅行是不可能的。,0,1,[],[],8ec8f655f06e252b61da16c9a9c6c2ed,./wfd_mp3\8ec8f655f06e252b61da16c9a9c6c2ed.mp3
26,We can work together to achieve high educational standards.,我们可以共同努力实现高教育标准。,1,1,['2024-08-19'],['we can work together to achieve higher educational standards standard'],96a4ff10b45b96f4a47d392a2179498a,./wfd_mp3\96a4ff10b45b96f4a47d392a2179498a.mp3
27,Parents’ talk to children tends to be simplified.,父母对孩子的谈话往往被简化。,1,1,['2024-08-19'],"[""parents' talk to children tends tend to be simplified parent's parents""]",f116c5dc373a84cfed90ac3a6751a573,./wfd_mp3\f116c5dc373a84cfed90ac3a6751a573.mp3
28,Find out how to get resources before your research.,在你研究之前了解获得资料的方法。,0,1,[],[],afebd9417ac95d14aee3ff51cb29e990,./wfd_mp3\afebd9417ac95d14aee3ff51cb29e990.mp3
29,"Global connections thrived in academic communities, thanks to social media.",多亏了社交媒体，学术界的全球联系蓬勃发展。,0,1,[],[],801b835e95811e6a68f934b7b89bc5a6,./wfd_mp3\801b835e95811e6a68f934b7b89bc5a6.mp3
30,The theater study course encourages students to exercise creativity.,戏剧学习课程鼓励学生锻炼创造力。,0,1,[],[],e4ff331f11bdf2ced4d6f552506f0881,./wfd_mp3\e4ff331f11bdf2ced4d6f552506f0881.mp3
31,There are opportunities to receive grants in most artistic fields.,大多数艺术领域都有获得资助的机会。,1,1,['2024-08-19'],['there are opportunities to receive grants in most artistic field'],3e53ae175ed3f8439cf09c57c169b3c5,./wfd_mp3\3e53ae175ed3f8439cf09c57c169b3c5.mp3
32,Every student has both the right and the ability to succeed.,每个学生都有成功的权利和能力。,1,1,['2024-08-19'],['all students have the both right and ability to get succeed'],a9579cc0e69a4924d59a9acff7e34769,./wfd_mp3\a9579cc0e69a4924d59a9acff7e34769.mp3
33,Collaboration between departments is a feature of successful companies.,部门间的协作是成功公司的一个特点。,0,1,[],[],c0f98ea2662d01e0054fdcd87cdfd2b0,./wfd_mp3\c0f98ea2662d01e0054fdcd87cdfd2b0.mp3
34,Making mistakes is fine as long as you learn from them.,只要你能从错误中吸取教训，犯错误没什么大不了的。,1,1,['2024-08-19'],['making mistakes is fine as long as you learned from them'],6222ce110151ebe53fcdb3c25fc932fc,./wfd_mp3\6222ce110151ebe53fcdb3c25fc932fc.mp3
35,"Some people are motivated by competition, while others prefer to collaborate.",有些人的动力是竞争，而另一些人更喜欢合作。,0,1,[],[],02e6625178a42e9c48b0082cd6407346,./wfd_mp3\02e6625178a42e9c48b0082cd6407346.mp3
36,The ability to work with fellow students cannot be stressed enough.,与同学一起工作的能力是再怎么强调也不为过的。,0,0,[],[],381782ee66ee69ee2f7c6d702ffb61cf,./wfd_mp3\381782ee66ee69ee2f7c6d702ffb61cf.mp3
37,The plight of local wildlife has been ignored by developers.,当地野生动物的困境一直被开发商忽视。,0,0,[],[],0b3df6998a12e177e4dcaa7836cfa7fc,./wfd_mp3\0b3df6998a12e177e4dcaa7836cfa7fc.mp3
38,The site is designed to be highly interactive.,这个网站被设计成高度交互式的。,0,0,[],[],dded0cc39531c16bae2b2035df32f857,./wfd_mp3\dded0cc39531c16bae2b2035df32f857.mp3
39,You should submit your term papers to the general office.,你应该把你的学期论文交到办公室。,0,0,[],[],d8ad9b6f71692106a0415198465b0e2e,./wfd_mp3\d8ad9b6f71692106a0415198465b0e2e.mp3
40,Key business partners are often intertwined in expense accounts.,主要业务伙伴经常在费用账目上纠缠不清。,0,0,[],[],f64363ff5eefdcaa45479fa3ce5d89c4,./wfd_mp3\f64363ff5eefdcaa45479fa3ce5d89c4.mp3
41,"Sugar is a compound including carbon, oxygen, and hydrogen atoms.",糖是一种包括碳、氧和氢原子的化合物。,0,0,[],[],2db5a9a9d3db240b2e3f5d810aeef390,./wfd_mp3\2db5a9a9d3db240b2e3f5d810aeef390.mp3
42,Many vocational courses at institutions are funded by private enterprises.,一些机构的职业课程是由私营企业资助的。,0,0,[],[],b2efcce93595fd74372050afc557ce4c,./wfd_mp3\b2efcce93595fd74372050afc557ce4c.mp3
43,Distance learning allows you to develop a career around your commitments.,远程学习使您能够在兼顾你现有责任的同时发展职业。,0,0,[],[],60f42589e7800f0cb18ef758189417ab,./wfd_mp3\60f42589e7800f0cb18ef758189417ab.mp3
44,Growing population has posed a challenge to many governments.,不断增长的人口对许多政府构成了挑战。,0,0,[],[],4a9881a3b4f0c3c0547bdb5b66bae323,./wfd_mp3\4a9881a3b4f0c3c0547bdb5b66bae323.mp3
45,It takes a long time to walk to university.,步行到大学要花很长时间。,0,0,[],[],afb7b4d2c76655483f5ffafed64b6aa0,./wfd_mp3\afb7b4d2c76655483f5ffafed64b6aa0.mp3
46,Many food crops require large amounts of water and fertilizer.,许多粮食作物需要大量的水和肥料。,0,0,[],[],599c8bcdfc01469e637cee5a05714890,./wfd_mp3\599c8bcdfc01469e637cee5a05714890.mp3
47,Classical mechanics is sometimes considered as a branch of applied mathematics.,经典力学有时候被认为是应用数学的一个分支。,0,0,[],[],ed2ddee77c9fbbaaed052df47a46d428,./wfd_mp3\ed2ddee77c9fbbaaed052df47a46d428.mp3
48,Undergraduates may pursue their specific interests within certificate programs.,本科生可以在认证课程中追求自己的爱好。,0,0,[],[],b54e91dbe054a563f825affa00dbe2f5,./wfd_mp3\b54e91dbe054a563f825affa00dbe2f5.mp3
49,Summer school programs allow some students to accelerate their studies.,暑期课程允许一些学生加快他们的学习进度。,0,0,[],[],2ee4a71feae5cc7f2d96a20fef59c952,./wfd_mp3\2ee4a71feae5cc7f2d96a20fef59c952.mp3
50,Peer review is an essential part of scientific methods.,同行评议是科研方法的重要组成部分。,0,0,[],[],eb20ec128382c32614e6b0eac96b197e,./wfd_mp3\eb20ec128382c32614e6b0eac96b197e.mp3
51,Advanced technology created growth in the economy.,先进科技创造了经济增长。,0,0,[],[],d414efc2cee4be07c8c420a28dbbcee2,./wfd_mp3\d414efc2cee4be07c8c420a28dbbcee2.mp3
52,This course places considerable emphasis on critical thinking skills.,本课程相当重视批判性思维技能。,0,0,[],[],bafc0e73787d989deb9fa0065423cebe,./wfd_mp3\bafc0e73787d989deb9fa0065423cebe.mp3
53,A typical part of the course involves the study of society.,这门课程的一个典型部分包括了社会研究。,0,0,[],[],5caeae3162afec551fed843277c16608,./wfd_mp3\5caeae3162afec551fed843277c16608.mp3
54,Scientists have founded all parts of society today.,科学家们建立了当今社会的各个部分。,0,0,[],[],483ad35be82587f442843f7df036d50d,./wfd_mp3\483ad35be82587f442843f7df036d50d.mp3
55,Physics is the key subject to understanding the world and the universe.,物理学是理解世界和宇宙的关键学科。,0,0,[],[],7a116fbf4af99a02e2298009ba215a0f,./wfd_mp3\7a116fbf4af99a02e2298009ba215a0f.mp3
56,This new camera can identify your eyes and focus on them.,这个新相机可以识别你的眼睛并对其进行聚焦。,0,0,[],[],181bea0a9c816963747763980103fc07,./wfd_mp3\181bea0a9c816963747763980103fc07.mp3
57,An architect is required to have problem-solving skills and an eye for design.,建筑师需要有解决问题的能力和设计的眼光。,0,0,[],[],3b7992b5a30169549d5aaf0ca7e27462,./wfd_mp3\3b7992b5a30169549d5aaf0ca7e27462.mp3
